Date,Test,Sample,Treatment,Pathogen,Dilution,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Count9,Count10
3/8/2017,CCC-FeCl2,2,beef broth,P22,2,0,0,0,0,0,0,0,0,0,0
3/8/2017,CCC-FeCl2,3,beef broth,P22,2,0,0,0,0,0,0,0,0,0,0
6/26/2017,CCC-FeCl3,control,filtered,phiX174,6,9,8,8,5,10,9,8,12,6,10
6/26/2017,CCC-FeCl3,1,filtered,phiX174,4,9,4,12,6,9,8,6,12,7,10
6/26/2017,CCC-FeCl3,2,filtered,phiX174,4,8,8,14,9,10,10,6,13,7,7
6/26/2017,CCC-FeCl3,3,filtered,phiX174,4,15,10,14,11,12,10,9,9,10,11
6/26/2017,CCC-FeCl3,control,beef broth,phiX174,6,7,9,3,11,8,4,10,6,6,10
6/26/2017,CCC-FeCl3,1,beef broth,phiX174,5,21,27,9,34,34,36,13,21,26,23
6/26/2017,CCC-FeCl3,2,beef broth,phiX174,5,26,23,24,29,30,25,23,27,32,33
6/26/2017,CCC-FeCl3,3,beef broth,phiX174,5,15,25,25,23,21,34,21,29,28,24
6/26/2017,CCC-FeCl3,control,filtered,fr,6,26,25,29,27,23,45,26,28,34,35
6/26/2017,CCC-FeCl3,1,filtered,fr,4,37,42,45,48,42,50,35,32,38,47
6/26/2017,CCC-FeCl3,2,filtered,fr,5,12,12,5,7,18,20,8,12,9,13
6/26/2017,CCC-FeCl3,3,filtered,fr,5,10,13,16,22,15,10,20,21,13,18
6/26/2017,CCC-FeCl3,control,beef broth,fr,6,6,4,5,12,6,7,3,5,4,4
6/26/2017,CCC-FeCl3,1,beef broth,fr,5,62,57,44,36,28,15,64,45,66,40
6/26/2017,CCC-FeCl3,2,beef broth,fr,5,62,57,44,36,28,55,64,45,66,40
6/26/2017,CCC-FeCl3,3,beef broth,fr,5,43,74,63,71,57,48,31,47,56,50
8/25/2017,pre-formed floc,control,filtered,MS2,6,20,21,25,24,24,21,26,26,30,20
8/25/2017,pre-formed floc,1,filtered,MS2,6,30,24,17,24,22,24,27,24,17,13
8/25/2017,pre-formed floc,2,filtered,MS2,6,18,23,17,28,14,20,23,20,15,30
8/25/2017,pre-formed floc,3,filtered,MS2,6,15,36,10,11,18,13,20,17,13,20
8/25/2017,pre-formed floc,control,beef broth,MS2,6,17,9,21,11,18,15,14,16,14,10
8/25/2017,pre-formed floc,1,beef broth,MS2,6,7,15,12,12,11,7,11,12,16,16
8/25/2017,pre-formed floc,2,beef broth,MS2,6,12,9,13,17,16,14,14,10,15,17
8/25/2017,pre-formed floc,3,beef broth,MS2,6,10,15,21,11,10,12,10,11,7,13
8/25/2017,pre-formed floc,control,filtered,P22,6,10,9,12,15,16,10,11,11,10,17
8/25/2017,pre-formed floc,1,filtered,P22,6,16,16,18,21,21,13,12,14,14,16
8/25/2017,pre-formed floc,2,filtered,P22,6,14,14,16,13,19,15,10,10,16,13
8/25/2017,pre-formed floc,3,filtered,P22,6,7,16,10,12,20,10,12,16,13,20
8/25/2017,pre-formed floc,control,beef broth,P22,6,6,6,6,8,8,8,7,8,4,4
8/25/2017,pre-formed floc,1,beef broth,P22,6,5,7,6,3,4,5,7,6,6,7
8/25/2017,pre-formed floc,2,beef broth,P22,6,9,7,7,6,4,8,4,4,5,6
8/25/2017,pre-formed floc,3,beef broth,P22,6,4,4,3,5,5,6,7,6,9,7
8/3/2018,Titanium,control,filtered,MS2,5,52,27,24,28,35,30,24,31,28,34
8/3/2018,Titanium,1,filtered,MS2,5,5,6,7,7,4,4,7,7,6,5
8/3/2018,Titanium,2,filtered,MS2,5,6,6,6,5,7,6,9,16,10,12
8/3/2018,Titanium,3,filtered,MS2,5,7,11,9,10,9,12,8,10,7,11
8/3/2018,Titanium,control,beef broth,MS2,5,24,31,31,20,28,17,15,19,24,36
